"order_item_id","order_id","product_id","quantity","unit_price"
1,4096,27,1,119.99
2,4096,28,1,99.99
3,4097,27,3,119.99
4,4097,25,2,229.99
5,4097,26,2,39.99
6,4098,22,2,149.99
7,4098,23,1,299.99
8,4098,24,1,79.99
9,4099,21,1,249.99
10,4099,20,1,249.99
11,4099,22,1,149.99
12,4099,23,2,299.99
13,4100,18,1,449.99
14,4101,16,1,349.99
15,4102,14,1,1299.99
16,4102,15,1,549.99
17,4103,12,1,499.99
18,4103,13,1,999.99
19,4104,9,1,699.99
20,4104,11,2,299.99
21,4105,7,1,329.99
22,4105,8,1,599.99
23,4106,5,1,2199.99
24,4106,6,1,179.99
25,4107,4,2,649.99
26,4107,3,1,1799.99
27,4107,5,1,2199.99
28,4108,1,1,899.99
29,4108,2,2,1299.99
30,4108,4,1,649.99
31,4109,1,1,899.99
32,4109,2,1,1299.99
33,4109,4,1,649.99
34,4109,3,2,1799.99
35,4110,1,1,899.99
36,4111,1,1,899.99
37,4112,1,1,899.99
38,4112,2,1,1299.99
39,4113,49,2,19.99
40,4113,50,1,49.99
41,4114,46,1,49.99
42,4114,47,3,69.99
43,4115,44,1,119.99
44,4115,45,1,199.99
45,4116,42,1,99.99
46,4116,43,2,179.99
47,4117,42,1,99.99
48,4117,40,1,59.99
49,4117,41,2,59.99
50,4118,38,1,79.99
51,4118,39,2,179.99
52,4118,42,2,99.99
53,4119,37,2,199.99
54,4119,36,2,39.99
55,4119,38,1,79.99
56,4119,39,1,179.99
57,4120,33,3,99.99
58,4121,31,3,24.99
59,4122,29,1,89.99
60,4122,31,2,24.99
61,4123,27,1,119.99
62,4123,28,1,99.99
63,4124,27,3,119.99
64,4124,25,2,229.99
65,4125,23,2,299.99
66,4125,24,1,79.99
67,4126,21,1,249.99
68,4126,20,2,249.99
69,4127,18,1,449.99
70,4127,19,1,899.99
71,4127,21,2,249.99
72,4128,16,1,349.99
73,4128,17,1,699.99
74,4128,18,1,449.99
75,4129,14,1,1299.99
76,4129,15,1,549.99
77,4129,16,2,349.99
78,4129,17,1,699.99
79,4130,12,1,499.99
80,4131,9,2,699.99
81,4132,7,1,329.99
82,4132,8,1,599.99
83,4133,5,1,2199.99
84,4133,6,1,179.99
85,4134,4,1,649.99
86,4134,3,1,1799.99
87,4135,1,1,899.99
88,4135,2,2,1299.99
89,4136,1,1,899.99
90,4136,2,1,1299.99
91,4137,1,2,899.99
92,4137,2,1,1299.99
93,4137,4,2,649.99
94,4138,1,1,899.99
95,4138,2,2,1299.99
96,4138,4,1,649.99
97,4139,1,1,899.99
98,4139,2,1,1299.99
99,4139,4,1,649.99
100,4139,3,2,1799.99
101,4140,49,2,19.99
102,4141,47,2,69.99
103,4142,44,1,119.99
104,4142,45,1,199.99
105,4143,42,1,99.99
106,4143,43,1,179.99
107,4144,42,2,99.99
108,4144,40,1,59.99
109,4145,38,1,79.99
110,4145,39,2,179.99
111,4146,37,2,199.99
112,4146,36,1,39.99
113,4147,33,2,99.99
114,4147,34,1,69.99
115,4147,35,1,29.99
116,4148,31,3,24.99
117,4148,32,1,79.99
118,4148,33,1,99.99
119,4149,29,3,89.99
120,4149,31,1,24.99
121,4149,30,1,149.99
122,4149,32,3,79.99
123,4150,27,1,119.99
124,4151,27,2,119.99
125,4152,23,2,299.99
126,4152,24,1,79.99
127,4153,21,2,249.99
128,4153,20,2,249.99
129,4154,18,2,449.99
130,4154,19,1,899.99
131,4155,16,1,349.99
132,4155,17,1,699.99
133,4156,14,1,1299.99
134,4156,15,1,549.99
135,4157,12,1,499.99
136,4157,13,1,999.99
137,4157,14,2,1299.99
138,4158,11,1,299.99
139,4158,10,1,129.99
140,4158,12,2,499.99
141,4159,7,2,329.99
142,4159,8,1,599.99
143,4159,9,1,699.99
144,4159,11,1,299.99
145,4160,5,1,2199.99
146,4161,4,1,649.99
147,4162,1,1,899.99
148,4162,2,1,1299.99
149,4163,1,1,899.99
150,4163,2,1,1299.99
151,4164,1,2,899.99
152,4164,2,1,1299.99
153,4165,1,1,899.99
154,4165,2,2,1299.99
155,4166,1,1,899.99
156,4166,2,1,1299.99
157,4167,49,1,19.99
158,4167,50,3,49.99
159,4167,1,2,899.99
160,4168,47,2,69.99
161,4168,49,1,19.99
162,4168,48,3,59.99
163,4169,44,1,119.99
164,4169,45,1,199.99
165,4169,46,1,49.99
166,4169,47,1,69.99
167,4170,42,1,99.99
168,4171,42,2,99.99
169,4172,38,1,79.99
170,4172,39,2,179.99
171,4173,37,2,199.99
172,4173,36,1,39.99
173,4174,34,3,69.99
174,4174,35,1,29.99
175,4175,31,2,24.99
176,4175,32,1,79.99
177,4176,29,3,89.99
178,4176,31,1,24.99
179,4177,27,3,119.99
180,4177,28,1,99.99
181,4177,29,1,89.99
182,4178,27,2,119.99
183,4178,25,2,229.99
184,4178,26,1,39.99
185,4179,23,2,299.99
186,4179,24,1,79.99
187,4179,27,1,119.99
188,4179,25,1,229.99
189,4180,21,2,249.99
190,4181,18,2,449.99
191,4182,16,2,349.99
192,4182,17,1,699.99
193,4183,14,1,1299.99
194,4183,15,1,549.99
195,4184,12,1,499.99
196,4184,13,1,999.99
197,4185,11,1,299.99
198,4185,10,1,129.99
199,4186,7,2,329.99
200,4186,8,1,599.99
201,4187,5,1,2199.99
202,4187,6,1,179.99
203,4187,7,1,329.99
204,4188,4,1,649.99
205,4188,3,1,1799.99
206,4188,5,2,2199.99
207,4189,1,1,899.99
208,4189,2,1,1299.99
209,4189,4,1,649.99
210,4189,3,2,1799.99
211,4190,1,1,899.99
212,4191,1,1,899.99
213,4192,1,1,899.99
214,4192,2,1,1299.99
215,4193,1,1,899.99
216,4193,2,1,1299.99
217,4194,49,1,19.99
218,4194,50,2,49.99
219,4195,47,1,69.99
220,4195,49,1,19.99
221,4196,44,2,119.99
222,4196,45,1,199.99
223,4197,42,1,99.99
224,4197,43,1,179.99
225,4197,44,2,119.99
226,4198,42,2,99.99
227,4198,40,1,59.99
228,4198,41,1,59.99
229,4199,38,1,79.99
230,4199,39,1,179.99
231,4199,42,1,99.99
232,4199,40,2,59.99
233,4200,37,2,199.99
234,4201,34,3,69.99
235,4202,31,2,24.99
236,4202,32,3,79.99
237,4203,29,2,89.99
238,4203,31,1,24.99
239,4204,27,3,119.99
240,4204,28,1,99.99
241,4205,27,1,119.99
242,4205,25,1,229.99
243,4206,23,2,299.99
244,4206,24,2,79.99
245,4207,21,2,249.99
246,4207,22,1,149.99
247,4207,23,1,299.99
248,4208,18,1,449.99
249,4208,19,1,899.99
250,4208,21,1,249.99
251,4209,16,2,349.99
252,4209,17,1,699.99
253,4209,18,1,449.99
254,4209,19,1,899.99
255,4210,14,2,1299.99
256,4211,12,1,499.99
257,4212,11,1,299.99
258,4212,10,2,129.99
259,4213,7,2,329.99
260,4213,8,1,599.99
261,4214,5,1,2199.99
262,4214,6,1,179.99
263,4215,4,1,649.99
264,4215,3,1,1799.99
265,4216,1,1,899.99
266,4216,2,1,1299.99
267,4217,1,2,899.99
268,4217,2,1,1299.99
269,4217,4,2,649.99
270,4218,1,1,899.99
271,4218,2,2,1299.99
272,4218,4,1,649.99
273,4219,1,1,899.99
274,4219,2,1,1299.99
