"order_id","customer_id","order_date","status"
4096,1368,"2025-12-14 12:00:00",Delivered
4097,368,"2025-08-06 12:00:00",Delivered
4098,1368,"2025-03-29 12:00:00",Delivered
4099,368,"2024-11-19 12:00:00",Delivered
4100,1368,"2024-07-12 12:00:00",Delivered
4101,1405,"2025-12-27 12:00:00",Confirmed
4102,405,"2025-08-19 12:00:00",Delivered
4103,1405,"2025-04-11 12:00:00",Delivered
4104,405,"2024-12-02 12:00:00",Confirmed
4105,1405,"2024-07-25 12:00:00",Delivered
4106,1442,"2026-01-09 12:00:00",Delivered
4107,442,"2025-09-01 12:00:00",Delivered
4108,1442,"2025-04-24 12:00:00",Delivered
4109,442,"2024-12-15 12:00:00",Delivered
4110,1442,"2024-08-07 12:00:00",Delivered
4111,1479,"2026-01-22 12:00:00",Delivered
4112,479,"2025-09-14 12:00:00",Delivered
4113,1479,"2025-05-07 12:00:00",Delivered
4114,479,"2024-12-28 12:00:00",Delivered
4115,1479,"2024-08-20 12:00:00",Delivered
4116,1516,"2026-02-04 12:00:00",Shipped
4117,516,"2025-09-27 12:00:00",Shipped
4118,1516,"2025-05-20 12:00:00",Shipped
4119,516,"2025-01-10 12:00:00",Shipped
4120,1516,"2024-09-02 12:00:00",Shipped
4121,1553,"2026-02-17 12:00:00",Delivered
4122,553,"2025-10-10 12:00:00",Pending
4123,1553,"2025-06-02 12:00:00",Delivered
4124,553,"2025-01-23 12:00:00",Delivered
4125,1553,"2024-09-15 12:00:00",Confirmed
4126,1590,"2026-03-02 12:00:00",Delivered
4127,590,"2025-10-23 12:00:00",Delivered
4128,1590,"2025-06-15 12:00:00",Delivered
4129,590,"2025-02-05 12:00:00",Delivered
4130,1590,"2024-09-28 12:00:00",Delivered
4131,1627,"2026-03-15 12:00:00",Delivered
4132,627,"2025-11-05 12:00:00",Delivered
4133,1627,"2025-06-28 12:00:00",Delivered
4134,627,"2025-02-18 12:00:00",Pending
4135,1627,"2024-10-11 12:00:00",Delivered
4136,1664,"2026-03-28 12:00:00",Delivered
4137,664,"2025-11-18 12:00:00",Delivered
4138,1664,"2025-07-11 12:00:00",Delivered
4139,664,"2025-03-03 12:00:00",Delivered
4140,1664,"2024-10-24 12:00:00",Delivered
4141,1701,"2026-04-10 12:00:00",Cancelled
4142,701,"2025-12-01 12:00:00",Cancelled
4143,1701,"2025-07-24 12:00:00",Cancelled
4144,701,"2025-03-16 12:00:00",Cancelled
4145,1701,"2024-11-06 12:00:00",Cancelled
4146,998,"2025-08-06 12:00:00",Delivered
4147,1998,"2025-03-29 12:00:00",Delivered
4148,998,"2024-11-19 12:00:00",Delivered
4149,1998,"2024-07-12 12:00:00",Delivered
4150,998,"2024-03-04 12:00:00",Delivered
